Name,Points,Time,CorrectResult,Timestamp
Reference,1000,0.0000016100,1,2025-11-07 03:19:30
Reference,10000,0.0000312700,1,2025-11-07 03:19:30
Reference,100000,0.0003334420,1,2025-11-07 03:19:30
Reference,1000000,0.0027130030,1,2025-11-07 03:19:30
Reference,10000000,0.0222184640,1,2025-11-07 03:19:30
Reference,100000000,0.2148265470,1,2025-11-07 03:19:30
Reference,1000000000,2.1506639290,1,2025-11-07 03:19:30
Reference,1000,0.0000016200,1,2025-11-07 03:22:34
Reference,10000,0.0000316000,1,2025-11-07 03:22:34
Reference,100000,0.0003216430,1,2025-11-07 03:22:34
Reference,1000000,0.0034163900,1,2025-11-07 03:22:34
Reference,10000000,0.0224156550,1,2025-11-07 03:22:34
Reference,100000000,0.2171104610,1,2025-11-07 03:22:34
Reference,1000000000,2.1730080430,1,2025-11-07 03:22:34
Reference,1000,0.0000016300,1,2025-11-07 03:25:38
Reference,10000,0.0000348500,1,2025-11-07 03:25:38
Reference,100000,0.0003392520,1,2025-11-07 03:25:38
Reference,1000000,0.0032087870,1,2025-11-07 03:25:38
Reference,10000000,0.0225957820,1,2025-11-07 03:25:38
Reference,100000000,0.2174152670,1,2025-11-07 03:25:38
Reference,1000000000,2.1719572880,1,2025-11-07 03:25:38
Reference,1000,0.0000016200,1,2025-11-07 03:28:41
Reference,10000,0.0000313200,1,2025-11-07 03:28:41
Reference,100000,0.0003327320,1,2025-11-07 03:28:41
Reference,1000000,0.0033347870,1,2025-11-07 03:28:41
Reference,10000000,0.0223755580,1,2025-11-07 03:28:41
Reference,100000000,0.2174881890,1,2025-11-07 03:28:41
Reference,1000000000,2.1753355160,1,2025-11-07 03:28:41
Reference,1000,0.0000016200,1,2025-11-07 03:31:44
Reference,10000,0.0000343800,1,2025-11-07 03:31:44
Reference,100000,0.0003805240,1,2025-11-07 03:31:44
Reference,1000000,0.0026719520,1,2025-11-07 03:31:44
Reference,10000000,0.0223047120,1,2025-11-07 03:31:44
Reference,100000000,0.2146848710,1,2025-11-07 03:31:44
Reference,1000000000,2.1458917360,1,2025-11-07 03:31:44
Reference,1000,0.0000016400,1,2025-11-07 03:34:47
Reference,10000,0.0000327300,1,2025-11-07 03:34:47
Reference,100000,0.0003433630,1,2025-11-07 03:34:47
Reference,1000000,0.0027359620,1,2025-11-07 03:34:47
Reference,10000000,0.0222253690,1,2025-11-07 03:34:47
Reference,100000000,0.2150792390,1,2025-11-07 03:34:47
Reference,1000000000,2.1547060970,1,2025-11-07 03:34:47
Reference,1000,0.0000016200,1,2025-11-07 03:37:50
Reference,10000,0.0000368510,1,2025-11-07 03:37:50
Reference,100000,0.0003398730,1,2025-11-07 03:37:50
Reference,1000000,0.0031260160,1,2025-11-07 03:37:50
Reference,10000000,0.0223877620,1,2025-11-07 03:37:50
Reference,100000000,0.2152368570,1,2025-11-07 03:37:50
Reference,1000000000,2.1533594960,1,2025-11-07 03:37:50
Reference,1000,0.0000016100,1,2025-11-07 03:40:54
Reference,10000,0.0000314510,1,2025-11-07 03:40:54
Reference,100000,0.0003254230,1,2025-11-07 03:40:54
Reference,1000000,0.0027231120,1,2025-11-07 03:40:54
Reference,10000000,0.0224435410,1,2025-11-07 03:40:54
Reference,100000000,0.2172015950,1,2025-11-07 03:40:54
Reference,1000000000,2.1734287640,1,2025-11-07 03:40:54
Reference,1000,0.0000016300,1,2025-11-07 03:43:57
Reference,10000,0.0000424700,1,2025-11-07 03:43:57
Reference,100000,0.0003495830,1,2025-11-07 03:43:57
Reference,1000000,0.0027446230,1,2025-11-07 03:43:57
Reference,10000000,0.0224387550,1,2025-11-07 03:43:57
Reference,100000000,0.2167925230,1,2025-11-07 03:43:57
Reference,1000000000,2.1691751240,1,2025-11-07 03:43:57
Reference,1000,0.0000016100,1,2025-11-07 03:47:00
Reference,10000,0.0000337410,1,2025-11-07 03:47:00
Reference,100000,0.0003288820,1,2025-11-07 03:47:00
Reference,1000000,0.0027516330,1,2025-11-07 03:47:00
Reference,10000000,0.0224336070,1,2025-11-07 03:47:00
Reference,100000000,0.2169453740,1,2025-11-07 03:47:00
Reference,1000000000,2.1747905540,1,2025-11-07 03:47:00
ROCm (simple),1000,0.0000146600,1,2025-11-07 07:11:20
ROCm (simple),10000,0.0000146400,1,2025-11-07 07:11:20
ROCm (simple),100000,0.000026,1,2025-10-31 08:52:48
ROCm (simple),1000000,0.0001727610,1,2025-11-07 07:11:20
ROCm (simple),10000000,0.0003421530,1,2025-11-07 07:11:20
ROCm (simple),100000000,0.0027707330,1,2025-11-07 07:11:20
ROCm (simple),1000000000,0.0272243820,1,2025-11-07 07:11:20
ROCm (rocBLAS),1000,0.0047815390,1,2025-11-07 07:11:20
ROCm (rocBLAS),10000,0.0053121740,1,2025-11-07 07:11:20
ROCm (rocBLAS),100000,0.004936,1,2025-10-31 08:52:48
ROCm (rocBLAS),1000000,0.0054944560,1,2025-11-07 07:11:20
ROCm (rocBLAS),10000000,0.0055930260,1,2025-11-07 07:11:20
ROCm (rocBLAS),100000000,0.0064561830,1,2025-11-07 07:11:20
ROCm (rocBLAS),1000000000,0.0188050930,1,2025-11-07 07:11:20
ROCm (simple),1000,0.0000148800,1,2025-11-07 07:13:32
ROCm (simple),10000,0.0000151610,1,2025-11-07 07:13:32
ROCm (simple),100000,0.000031,1,2025-10-31 08:54:37
ROCm (simple),1000000,0.0001610710,1,2025-11-07 07:13:32
ROCm (simple),10000000,0.0004657140,1,2025-11-07 07:13:32
ROCm (simple),100000000,0.0027761920,1,2025-11-07 07:13:32
ROCm (simple),1000000000,0.0272281230,1,2025-11-07 07:13:32
ROCm (rocBLAS),1000,0.0052283130,1,2025-11-07 07:13:32
ROCm (rocBLAS),10000,0.0056130060,1,2025-11-07 07:13:32
ROCm (rocBLAS),100000,0.005271,1,2025-10-31 08:54:37
ROCm (rocBLAS),1000000,0.0054793750,1,2025-11-07 07:13:32
ROCm (rocBLAS),10000000,0.0056843660,1,2025-11-07 07:13:32
ROCm (rocBLAS),100000000,0.0066350150,1,2025-11-07 07:13:32
ROCm (rocBLAS),1000000000,0.0189258250,1,2025-11-07 07:13:32
ROCm (simple),1000,0.0000160500,1,2025-11-07 07:15:45
ROCm (simple),10000,0.0000145500,1,2025-11-07 07:15:45
ROCm (simple),100000,0.000020,1,2025-10-31 08:56:25
ROCm (simple),1000000,0.0001624820,1,2025-11-07 07:15:45
ROCm (simple),10000000,0.0004495040,1,2025-11-07 07:15:45
ROCm (simple),100000000,0.0027659060,1,2025-11-07 07:15:45
ROCm (simple),1000000000,0.0272294890,1,2025-11-07 07:15:45
ROCm (rocBLAS),1000,0.0047869500,1,2025-11-07 07:15:45
ROCm (rocBLAS),10000,0.0053374050,1,2025-11-07 07:15:45
ROCm (rocBLAS),100000,0.004793,1,2025-10-31 08:56:25
ROCm (rocBLAS),1000000,0.0055950360,1,2025-11-07 07:15:45
ROCm (rocBLAS),10000000,0.0056519170,1,2025-11-07 07:15:45
ROCm (rocBLAS),100000000,0.0064858140,1,2025-11-07 07:15:45
ROCm (rocBLAS),1000000000,0.0187556670,1,2025-11-07 07:15:45
ROCm (simple),1000,0.0000151400,1,2025-11-07 07:17:57
ROCm (simple),10000,0.0000155610,1,2025-11-07 07:17:57
ROCm (simple),100000,0.000030,1,2025-10-31 08:58:14
ROCm (simple),1000000,0.0001746120,1,2025-11-07 07:17:57
ROCm (simple),10000000,0.0003340530,1,2025-11-07 07:17:57
ROCm (simple),100000000,0.0027914850,1,2025-11-07 07:17:57
ROCm (simple),1000000000,0.0272240610,1,2025-11-07 07:17:57
ROCm (rocBLAS),1000,0.0047626910,1,2025-11-07 07:17:57
ROCm (rocBLAS),10000,0.0049363220,1,2025-11-07 07:17:57
ROCm (rocBLAS),100000,0.004858,1,2025-10-31 08:58:14
ROCm (rocBLAS),1000000,0.0054643760,1,2025-11-07 07:17:57
ROCm (rocBLAS),10000000,0.0055577270,1,2025-11-07 07:17:57
ROCm (rocBLAS),100000000,0.0065145050,1,2025-11-07 07:17:57
ROCm (rocBLAS),1000000000,0.0187465690,1,2025-11-07 07:17:57
ROCm (simple),1000,0.0000138300,1,2025-11-07 07:20:10
ROCm (simple),10000,0.0000143600,1,2025-11-07 07:20:10
ROCm (simple),100000,0.000022,1,2025-10-31 09:00:03
ROCm (simple),1000000,0.0001612710,1,2025-11-07 07:20:10
ROCm (simple),10000000,0.0005668050,1,2025-11-07 07:20:10
ROCm (simple),100000000,0.0027649240,1,2025-11-07 07:20:10
ROCm (simple),1000000000,0.0272240710,1,2025-11-07 07:20:10
ROCm (rocBLAS),1000,0.0049009910,1,2025-11-07 07:20:10
ROCm (rocBLAS),10000,0.0052437350,1,2025-11-07 07:20:10
ROCm (rocBLAS),100000,0.004823,1,2025-10-31 09:00:03
ROCm (rocBLAS),1000000,0.0055814070,1,2025-11-07 07:20:10
ROCm (rocBLAS),10000000,0.0055513170,1,2025-11-07 07:20:10
ROCm (rocBLAS),100000000,0.0065747860,1,2025-11-07 07:20:10
ROCm (rocBLAS),1000000000,0.0187718590,1,2025-11-07 07:20:10
ROCm (simple),1000,0.0000147300,1,2025-11-07 07:22:22
ROCm (simple),10000,0.0000143300,1,2025-11-07 07:22:22
ROCm (simple),100000,0.000022,1,2025-10-31 09:01:51
ROCm (simple),1000000,0.0001616210,1,2025-11-07 07:22:22
ROCm (simple),10000000,0.0005766550,1,2025-11-07 07:22:22
ROCm (simple),100000000,0.0027702340,1,2025-11-07 07:22:22
ROCm (simple),1000000000,0.0272259200,1,2025-11-07 07:22:22
ROCm (rocBLAS),1000,0.0048044410,1,2025-11-07 07:22:22
ROCm (rocBLAS),10000,0.0053067050,1,2025-11-07 07:22:22
ROCm (rocBLAS),100000,0.005408,1,2025-10-31 09:01:51
ROCm (rocBLAS),1000000,0.0055534670,1,2025-11-07 07:22:22
ROCm (rocBLAS),10000000,0.0056981480,1,2025-11-07 07:22:22
ROCm (rocBLAS),100000000,0.0071455410,1,2025-11-07 07:22:22
ROCm (rocBLAS),1000000000,0.0193401940,1,2025-11-07 07:22:22
ROCm (simple),1000,0.0000133900,1,2025-11-07 07:24:34
ROCm (simple),10000,0.0000140700,1,2025-11-07 07:24:34
ROCm (simple),100000,0.000024,1,2025-10-31 09:03:40
ROCm (simple),1000000,0.0001624510,1,2025-11-07 07:24:34
ROCm (simple),10000000,0.0005196040,1,2025-11-07 07:24:34
ROCm (simple),100000000,0.0027744330,1,2025-11-07 07:24:34
ROCm (simple),1000000000,0.0272528400,1,2025-11-07 07:24:34
ROCm (rocBLAS),1000,0.0047857210,1,2025-11-07 07:24:34
ROCm (rocBLAS),10000,0.0048161800,1,2025-11-07 07:24:34
ROCm (rocBLAS),100000,0.005359,1,2025-10-31 09:03:40
ROCm (rocBLAS),1000000,0.0051586830,1,2025-11-07 07:24:34
ROCm (rocBLAS),10000000,0.0055034560,1,2025-11-07 07:24:34
ROCm (rocBLAS),100000000,0.0063891240,1,2025-11-07 07:24:34
ROCm (rocBLAS),1000000000,0.0187453080,1,2025-11-07 07:24:34
ROCm (simple),1000,0.0000158600,1,2025-11-07 07:26:47
ROCm (simple),10000,0.0000266100,1,2025-11-07 07:26:47
ROCm (simple),100000,0.000034,1,2025-10-31 09:05:29
ROCm (simple),1000000,0.0001628610,1,2025-11-07 07:26:47
ROCm (simple),10000000,0.0003438920,1,2025-11-07 07:26:47
ROCm (simple),100000000,0.0027663330,1,2025-11-07 07:26:47
ROCm (simple),1000000000,0.0272278270,1,2025-11-07 07:26:47
ROCm (rocBLAS),1000,0.0047586190,1,2025-11-07 07:26:47
ROCm (rocBLAS),10000,0.0053652250,1,2025-11-07 07:26:47
ROCm (rocBLAS),100000,0.005119,1,2025-10-31 09:05:29
ROCm (rocBLAS),1000000,0.0053530350,1,2025-11-07 07:26:47
ROCm (rocBLAS),10000000,0.0054292360,1,2025-11-07 07:26:47
ROCm (rocBLAS),100000000,0.0064749340,1,2025-11-07 07:26:47
ROCm (rocBLAS),1000000000,0.0188797780,1,2025-11-07 07:26:47
ROCm (simple),1000,0.0000139300,1,2025-11-07 07:29:00
ROCm (simple),10000,0.0000796200,1,2025-11-07 07:29:00
ROCm (simple),100000,0.000030,1,2025-10-31 09:07:17
ROCm (simple),1000000,0.0001613910,1,2025-11-07 07:29:00
ROCm (simple),10000000,0.0004703640,1,2025-11-07 07:29:00
ROCm (simple),100000000,0.0027631120,1,2025-11-07 07:29:00
ROCm (simple),1000000000,0.0272251050,1,2025-11-07 07:29:00
ROCm (rocBLAS),1000,0.0047961800,1,2025-11-07 07:29:00
ROCm (rocBLAS),10000,0.0048452010,1,2025-11-07 07:29:00
ROCm (rocBLAS),100000,0.004958,1,2025-10-31 09:07:17
ROCm (rocBLAS),1000000,0.0056744770,1,2025-11-07 07:29:00
ROCm (rocBLAS),10000000,0.0055511160,1,2025-11-07 07:29:00
ROCm (rocBLAS),100000000,0.0065017130,1,2025-11-07 07:29:00
ROCm (rocBLAS),1000000000,0.0189190460,1,2025-11-07 07:29:00
ROCm (simple),1000,0.0000152900,1,2025-11-07 07:31:12
ROCm (simple),10000,0.0000171800,1,2025-11-07 07:31:12
ROCm (simple),100000,0.000031,1,2025-10-31 09:09:06
ROCm (simple),1000000,0.0001614210,1,2025-11-07 07:31:12
ROCm (simple),10000000,0.0003369630,1,2025-11-07 07:31:12
ROCm (simple),100000000,0.0027635530,1,2025-11-07 07:31:12
ROCm (simple),1000000000,0.0272232650,1,2025-11-07 07:31:12
ROCm (rocBLAS),1000,0.0049185100,1,2025-11-07 07:31:12
