Name,Points,Time,CorrectMinValue,CorrectIndex,Timestamp
ROCm (simple),1000,0.0000199300,1,1,2025-11-07 07:10:28
ROCm (simple),10000,0.0000253400,1,1,2025-11-07 07:10:28
ROCm (simple),100000,0.0000155800,1,1,2025-11-07 07:10:28
ROCm (simple),1000000,0.0000251000,1,1,2025-11-07 07:10:28
ROCm (simple),10000000,0.0000376300,1,1,2025-11-07 07:10:28
ROCm (simple),100000000,0.0002308520,1,1,2025-11-07 07:10:28
ROCm (simple),1000000000,0.0024549690,1,1,2025-11-07 07:10:28
ROCm (rocPRIM),1000,0.0000177800,1,1,2025-11-07 07:10:28
ROCm (rocPRIM),10000,0.0000386000,1,1,2025-11-07 07:10:28
ROCm (rocPRIM),100000,0.0000317700,1,1,2025-11-07 07:10:28
ROCm (rocPRIM),1000000,0.0000234100,1,1,2025-11-07 07:10:28
ROCm (rocPRIM),10000000,0.0001022000,1,1,2025-11-07 07:10:28
ROCm (rocPRIM),100000000,0.0009087070,1,1,2025-11-07 07:10:28
ROCm (rocPRIM),1000000000,0.0082581010,1,1,2025-11-07 07:10:28
ROCm (simple),1000,0.0000204210,1,1,2025-11-07 07:12:43
ROCm (simple),10000,0.0000238500,1,1,2025-11-07 07:12:43
ROCm (simple),100000,0.0000200200,1,1,2025-11-07 07:12:43
ROCm (simple),1000000,0.0000359610,1,1,2025-11-07 07:12:43
ROCm (simple),10000000,0.0000381410,1,1,2025-11-07 07:12:43
ROCm (simple),100000000,0.0002352020,1,1,2025-11-07 07:12:43
ROCm (simple),1000000000,0.0024643390,1,1,2025-11-07 07:12:43
ROCm (rocPRIM),1000,0.0000210000,1,1,2025-11-07 07:12:43
ROCm (rocPRIM),10000,0.0000421700,1,1,2025-11-07 07:12:43
ROCm (rocPRIM),100000,0.0000417710,1,1,2025-11-07 07:12:43
ROCm (rocPRIM),1000000,0.0000438600,1,1,2025-11-07 07:12:43
ROCm (rocPRIM),10000000,0.0001289010,1,1,2025-11-07 07:12:43
ROCm (rocPRIM),100000000,0.0009140770,1,1,2025-11-07 07:12:43
ROCm (rocPRIM),1000000000,0.0083280140,1,1,2025-11-07 07:12:43
ROCm (simple),1000,0.0000247110,1,1,2025-11-07 07:14:58
ROCm (simple),10000,0.0000190500,1,1,2025-11-07 07:14:58
ROCm (simple),100000,0.0000199600,1,1,2025-11-07 07:14:58
ROCm (simple),1000000,0.0000228300,1,1,2025-11-07 07:14:58
ROCm (simple),10000000,0.0000383500,1,1,2025-11-07 07:14:58
ROCm (simple),100000000,0.0002340420,1,1,2025-11-07 07:14:58
ROCm (simple),1000000000,0.0024585890,1,1,2025-11-07 07:14:58
ROCm (rocPRIM),1000,0.0000234200,1,1,2025-11-07 07:14:58
ROCm (rocPRIM),10000,0.0000360710,1,1,2025-11-07 07:14:58
ROCm (rocPRIM),100000,0.0000394500,1,1,2025-11-07 07:14:58
ROCm (rocPRIM),1000000,0.0000404610,1,1,2025-11-07 07:14:58
ROCm (rocPRIM),10000000,0.0001104010,1,1,2025-11-07 07:14:58
ROCm (rocPRIM),100000000,0.0009079870,1,1,2025-11-07 07:14:58
ROCm (rocPRIM),1000000000,0.0083289430,1,1,2025-11-07 07:14:58
ROCm (simple),1000,0.0000213500,1,1,2025-11-07 07:17:12
ROCm (simple),10000,0.0000186400,1,1,2025-11-07 07:17:12
ROCm (simple),100000,0.0000295410,1,1,2025-11-07 07:17:12
ROCm (simple),1000000,0.0000602910,1,1,2025-11-07 07:17:12
ROCm (simple),10000000,0.0000405300,1,1,2025-11-07 07:17:12
ROCm (simple),100000000,0.0002345010,1,1,2025-11-07 07:17:12
ROCm (simple),1000000000,0.0024629690,1,1,2025-11-07 07:17:12
ROCm (rocPRIM),1000,0.0000196500,1,1,2025-11-07 07:17:12
ROCm (rocPRIM),10000,0.0000404000,1,1,2025-11-07 07:17:12
ROCm (rocPRIM),100000,0.0000458310,1,1,2025-11-07 07:17:12
ROCm (rocPRIM),1000000,0.0000400700,1,1,2025-11-07 07:17:12
ROCm (rocPRIM),10000000,0.0001044710,1,1,2025-11-07 07:17:12
ROCm (rocPRIM),100000000,0.0009239570,1,1,2025-11-07 07:17:12
ROCm (rocPRIM),1000000000,0.0082290120,1,1,2025-11-07 07:17:12
ROCm (simple),1000,0.0000208500,1,1,2025-11-07 07:19:27
ROCm (simple),10000,0.0000195700,1,1,2025-11-07 07:19:27
ROCm (simple),100000,0.0000236800,1,1,2025-11-07 07:19:27
ROCm (simple),1000000,0.0000319210,1,1,2025-11-07 07:19:27
ROCm (simple),10000000,0.0000403110,1,1,2025-11-07 07:19:27
ROCm (simple),100000000,0.0002420810,1,1,2025-11-07 07:19:27
ROCm (simple),1000000000,0.0024609390,1,1,2025-11-07 07:19:27
ROCm (rocPRIM),1000,0.0000143100,1,1,2025-11-07 07:19:27
ROCm (rocPRIM),10000,0.0000389910,1,1,2025-11-07 07:19:27
ROCm (rocPRIM),100000,0.0000402400,1,1,2025-11-07 07:19:27
ROCm (rocPRIM),1000000,0.0000442010,1,1,2025-11-07 07:19:27
ROCm (rocPRIM),10000000,0.0001206710,1,1,2025-11-07 07:19:27
ROCm (rocPRIM),100000000,0.0009017370,1,1,2025-11-07 07:19:27
ROCm (rocPRIM),1000000000,0.0082764430,1,1,2025-11-07 07:19:27
ROCm (simple),1000,0.0000240700,1,1,2025-11-07 07:21:42
ROCm (simple),10000,0.0000226600,1,1,2025-11-07 07:21:42
ROCm (simple),100000,0.0000187400,1,1,2025-11-07 07:21:42
ROCm (simple),1000000,0.0000480600,1,1,2025-11-07 07:21:42
ROCm (simple),10000000,0.0000392300,1,1,2025-11-07 07:21:42
ROCm (simple),100000000,0.0002461520,1,1,2025-11-07 07:21:42
ROCm (simple),1000000000,0.0024643180,1,1,2025-11-07 07:21:42
ROCm (rocPRIM),1000,0.0000309210,1,1,2025-11-07 07:21:42
ROCm (rocPRIM),10000,0.0000413710,1,1,2025-11-07 07:21:42
ROCm (rocPRIM),100000,0.0000427700,1,1,2025-11-07 07:21:42
ROCm (rocPRIM),1000000,0.0000469210,1,1,2025-11-07 07:21:42
ROCm (rocPRIM),10000000,0.0001154410,1,1,2025-11-07 07:21:42
ROCm (rocPRIM),100000000,0.0009181980,1,1,2025-11-07 07:21:42
ROCm (rocPRIM),1000000000,0.0083305430,1,1,2025-11-07 07:21:42
ROCm (simple),1000,0.0000218100,1,1,2025-11-07 07:23:57
ROCm (simple),10000,0.0000243000,1,1,2025-11-07 07:23:57
ROCm (simple),100000,0.0000221700,1,1,2025-11-07 07:23:57
ROCm (simple),1000000,0.0000358110,1,1,2025-11-07 07:23:57
ROCm (simple),10000000,0.0000387000,1,1,2025-11-07 07:23:57
ROCm (simple),100000000,0.0002331820,1,1,2025-11-07 07:23:57
ROCm (simple),1000000000,0.0024612790,1,1,2025-11-07 07:23:57
ROCm (rocPRIM),1000,0.0000191500,1,1,2025-11-07 07:23:57
ROCm (rocPRIM),10000,0.0000418810,1,1,2025-11-07 07:23:57
ROCm (rocPRIM),100000,0.0000500400,1,1,2025-11-07 07:23:57
ROCm (rocPRIM),1000000,0.0000456110,1,1,2025-11-07 07:23:57
ROCm (rocPRIM),10000000,0.0001022110,1,1,2025-11-07 07:23:57
ROCm (rocPRIM),100000000,0.0009234170,1,1,2025-11-07 07:23:57
ROCm (rocPRIM),1000000000,0.0082471030,1,1,2025-11-07 07:23:57
ROCm (simple),1000,0.0000193900,1,1,2025-11-07 07:26:11
